carat,cut,color,clarity,depth,table,x,y,z,price,depth_categories
0.49,3,2,3.1,59.5,62.0,5.09,5.22,3.06,1182,0.0
0.39,2,3,2.5,63.4,57.0,4.65,4.62,2.94,956,0.2
0.59,0,5,3.1,61.8,55.0,5.41,5.43,3.35,1401,0.0
0.91,1,5,6.5,60.2,59.0,6.29,6.24,3.77,2981,0.0
1.03,1,2,6.0,61.5,57.0,6.53,6.44,3.99,5087,0.0
1.53,1,4,6.0,59.5,59.0,7.53,7.46,4.46,10398,0.0
0.54,0,3,2.5,62.4,53.4,5.22,5.25,3.26,1962,0.2
0.43,0,2,3.6,61.1,57.0,4.88,4.91,2.99,1066,0.0
0.38,2,2,3.1,62.8,56.0,4.59,4.64,2.9,933,0.2
0.4,2,3,6.5,63.1,59.0,4.7,4.65,2.95,765,0.2
1.27,1,2,3.1,60.3,58.0,7.06,7.04,4.25,10028,0.0
0.78,0,5,3.6,60.9,57.0,5.97,5.92,3.62,2422,0.0
0.71,3,0,6.0,63.1,56.0,5.68,5.73,3.6,2719,0.2
0.5,1,1,6.5,61.3,56.0,5.13,5.08,3.13,1240,0.0
0.61,0,3,3.1,62.4,55.0,5.39,5.44,3.38,2177,0.2
0.5,1,0,6.0,62.4,60.0,5.07,5.09,3.17,1436,0.2
2.28,1,6,3.6,62.9,58.0,8.42,8.34,5.27,16564,0.2
1.54,0,5,3.1,61.3,55.0,7.39,7.47,4.56,12401,0.0
0.32,0,0,3.6,62.7,57.0,4.4,4.44,2.77,758,0.2
0.42,1,3,3.1,60.8,59.0,4.79,4.85,2.93,921,0.0
0.83,0,1,3.1,62.2,56.0,5.99,6.03,3.74,5151,0.2
0.7,0,5,3.1,62.4,56.0,5.66,5.68,3.54,2398,0.2
1.07,0,3,3.6,62.4,55.0,6.53,6.58,4.09,6648,0.2
2.03,1,5,3.6,60.5,62.0,8.22,8.17,4.96,16309,0.0
0.3,0,2,3.1,61.9,56.0,4.3,4.32,2.67,612,0.0
0.32,0,2,3.1,61.9,56.0,4.39,4.43,2.73,716,0.0
1.22,2,5,6.5,62.9,56.0,6.79,6.84,4.29,5072,0.2
0.54,0,5,3.6,61.5,55.0,5.25,5.29,3.24,1259,0.0
1.2,1,3,2.5,62.4,56.0,6.74,6.68,4.19,8870,0.2
1.01,3,2,6.5,64.0,56.0,6.25,6.32,4.02,3768,0.2
0.3,0,1,3.1,62.5,56.0,4.27,4.31,2.68,694,0.2
1.3,0,2,2.5,62.1,55.0,7.04,6.96,4.35,12745,0.2
0.41,0,4,6.5,60.8,57.0,4.84,4.8,2.93,787,0.0
0.77,0,1,6.5,62.1,56.0,5.84,5.86,3.63,2753,0.2
2.06,1,2,10.0,58.7,61.0,8.33,8.31,4.88,9967,0.2
1.0,1,3,6.5,60.7,59.0,6.45,6.41,3.9,3427,0.0
1.12,2,0,6.5,59.3,59.0,6.76,6.8,4.02,5243,0.0
0.71,0,3,3.1,61.8,55.0,5.71,5.76,3.55,3431,0.0
0.5,1,1,6.5,61.8,59.0,5.07,5.03,3.12,1181,0.0
1.01,4,1,6.5,57.1,59.0,6.65,6.69,3.81,4600,0.2
0.7,2,2,3.6,61.6,58.0,5.7,5.72,3.52,2362,0.0
1.01,3,0,6.5,57.6,62.0,6.66,6.56,3.81,4338,0.2
0.3,2,5,2.5,61.9,61.0,4.28,4.32,2.66,526,0.0
0.33,0,4,0.0,61.8,55.2,4.44,4.47,2.76,806,0.0
0.4,1,0,3.6,60.5,59.0,4.8,4.76,2.89,1050,0.0
1.01,3,2,6.5,63.9,54.0,6.33,6.44,4.08,4416,0.2
0.3,0,3,6.0,62.8,56.0,4.32,4.28,2.7,574,0.2
0.76,2,2,6.5,63.3,55.0,5.79,5.83,3.68,2347,0.2
1.51,1,3,6.0,60.4,58.0,7.46,7.38,4.48,10655,0.0
0.3,1,5,3.1,58.8,61.0,4.43,4.38,2.59,608,0.2
1.55,2,3,3.1,60.8,60.0,7.46,7.51,4.55,14386,0.0
0.67,1,3,2.5,60.1,60.0,5.66,5.58,3.38,2658,0.0
1.53,0,2,6.0,61.5,56.0,7.38,7.42,4.56,12616,0.0
0.41,2,2,0.0,63.3,56.0,4.69,4.75,2.99,1255,0.2
0.35,3,0,6.0,63.3,57.0,4.51,4.53,2.86,644,0.2
0.9,2,4,6.5,61.2,57.0,6.21,6.27,3.82,3481,0.0
1.11,2,4,6.0,61.9,58.0,6.63,6.65,4.11,5780,0.0
0.51,2,1,3.6,60.2,62.0,5.16,5.27,3.14,1393,0.0
1.08,0,6,6.5,61.8,57.0,6.56,6.58,4.06,3537,0.0
0.96,4,4,10.0,61.5,63.0,6.22,6.06,3.78,1637,0.0
1.0,1,2,10.0,62.4,59.0,6.34,6.38,3.97,3344,0.2
1.01,1,5,2.0,62.0,59.0,6.39,6.32,3.94,4989,0.0
0.32,0,4,3.6,61.7,57.0,4.38,4.4,2.71,529,0.0
0.98,2,4,6.5,63.4,57.0,6.41,6.32,4.04,3091,0.2
1.13,0,1,10.0,62.0,55.0,6.7,6.66,4.14,3797,0.0
1.5,2,2,6.0,63.0,55.0,7.27,7.31,4.59,10372,0.2
0.32,0,4,2.0,61.9,55.0,4.38,4.37,2.71,936,0.0
0.7,2,2,6.0,60.6,58.0,5.73,5.78,3.49,2231,0.0
1.12,1,3,2.0,58.9,60.0,6.91,6.78,4.03,8219,0.2
1.13,1,4,6.0,62.3,58.0,6.68,6.67,4.16,5194,0.2
0.5,2,3,2.0,59.6,63.0,5.11,5.16,3.06,1887,0.0
0.59,0,1,2.5,62.0,55.0,5.38,5.43,3.35,2761,0.0
0.9,1,2,6.5,61.4,62.0,6.2,6.11,3.78,3704,0.0
1.03,1,4,3.1,61.2,58.0,6.52,6.55,4.0,5744,0.0
0.9,0,2,6.0,60.7,57.0,6.25,6.21,3.78,4324,0.0
0.3,0,0,6.0,62.2,56.0,4.3,4.25,2.66,709,0.2
0.53,0,2,6.0,60.0,57.0,5.3,5.27,3.17,1908,0.0
0.35,0,3,6.5,61.2,56.0,4.56,4.59,2.8,517,0.0
0.55,0,6,3.1,62.3,56.0,5.26,5.24,3.27,1550,0.2
0.39,0,0,3.6,61.4,56.0,4.71,4.73,2.9,1197,0.0
1.32,1,2,6.5,60.6,60.0,7.05,7.1,4.29,6541,0.0
1.0,1,1,6.0,62.6,60.0,6.3,6.35,3.97,5445,0.2
0.75,2,6,6.0,62.4,56.0,5.78,5.82,3.62,2083,0.2
1.01,1,5,6.0,61.8,59.0,6.37,6.44,3.96,4166,0.0
0.92,1,4,6.0,59.2,60.0,6.4,6.35,3.76,2968,0.0
0.7,1,1,3.1,62.9,60.0,5.62,5.54,3.51,2782,0.2
0.51,0,1,2.5,62.4,59.0,5.07,5.12,3.18,2559,0.2
0.34,0,4,2.0,62.0,54.0,4.46,4.48,2.77,775,0.0
1.0,0,5,3.1,63.1,57.0,6.32,6.39,4.01,4664,0.2
0.51,2,3,2.5,63.4,57.0,5.09,5.06,3.22,1895,0.2
0.31,0,0,6.0,61.8,56.0,4.37,4.34,2.69,732,0.0
0.7,3,4,6.0,63.8,58.0,5.66,5.59,3.59,2176,0.2
1.04,0,4,6.5,61.7,57.0,6.49,6.54,4.02,4461,0.0
0.31,0,3,2.0,60.2,58.0,4.37,4.4,2.64,789,0.0
0.34,3,4,6.0,63.7,57.0,4.45,4.44,2.83,628,0.2
0.7,1,5,3.1,61.7,61.0,5.69,5.63,3.49,2234,0.0
1.7,1,1,6.0,60.1,58.0,7.78,7.74,4.66,15804,0.0
0.52,0,2,2.5,61.6,57.0,5.16,5.2,3.19,2168,0.0
1.06,0,3,3.1,60.7,56.0,6.6,6.64,4.02,7594,0.0
0.92,3,0,6.5,59.0,58.0,6.31,6.36,3.74,3936,0.0
0.75,0,1,3.6,60.2,57.0,5.93,5.9,3.56,3192,0.0
0.78,0,2,6.5,60.6,55.0,5.99,6.0,3.63,2365,0.0
0.59,1,4,2.5,62.3,55.0,5.42,5.33,3.35,1886,0.2
0.48,2,0,0.0,60.6,55.0,5.08,5.12,3.09,2677,0.0
0.48,2,1,6.0,62.7,58.5,4.99,5.01,3.14,1349,0.2
1.51,0,6,3.6,61.7,57.0,7.44,7.4,4.58,7847,0.0
1.08,1,4,6.0,62.6,58.0,6.53,6.56,4.1,5078,0.2
0.31,1,5,2.5,61.7,58.0,4.38,4.4,2.71,544,0.0
0.56,1,1,3.6,61.4,61.0,5.31,5.28,3.25,1915,0.0
0.53,0,1,3.6,61.8,55.0,5.21,5.24,3.23,2163,0.0
0.51,0,4,2.5,61.0,57.0,5.22,5.18,3.17,1574,0.0
0.41,2,2,2.0,62.3,54.0,4.75,4.79,2.97,1161,0.2
1.0,2,2,6.5,62.9,56.0,6.36,6.42,4.02,4255,0.2
0.31,2,0,6.5,62.9,59.0,4.28,4.31,2.7,462,0.2
0.42,0,3,3.1,61.8,56.0,4.8,4.84,2.98,921,0.0
0.38,2,1,2.0,60.0,59.0,4.66,4.68,2.8,1053,0.0
0.71,3,5,6.0,60.9,64.0,5.72,5.67,3.47,2087,0.0
1.08,0,5,6.5,62.3,57.0,6.56,6.61,4.1,4130,0.2
0.36,0,1,3.1,62.0,56.0,4.57,4.59,2.84,852,0.0
1.09,0,6,3.6,61.3,57.0,6.63,6.61,4.06,4131,0.0
0.91,3,6,3.6,61.3,61.0,6.18,6.25,3.81,3290,0.0
1.5,1,4,0.0,63.0,59.0,7.3,7.23,4.58,13107,0.2
1.02,1,3,6.5,62.5,58.0,6.42,6.34,3.99,3656,0.2
0.41,0,1,6.5,60.7,57.0,4.81,4.85,2.93,683,0.0
2.01,1,6,6.0,61.7,60.0,8.12,8.09,5.0,9793,0.0
0.4,1,3,6.0,62.0,59.0,4.71,4.74,2.93,702,0.0
0.5,1,3,6.0,63.0,56.0,5.07,5.02,3.18,1138,0.2
0.7,0,1,6.0,60.9,57.0,5.73,5.76,3.5,2768,0.0
1.03,3,6,3.6,63.7,56.0,6.42,6.35,4.07,3795,0.2
1.12,0,0,3.1,61.1,57.0,6.68,6.75,4.1,9694,0.0
0.34,1,0,6.5,59.2,59.0,4.54,4.58,2.7,507,0.0
0.39,0,3,3.1,61.3,56.0,4.68,4.71,2.88,752,0.0
1.6,1,3,2.0,61.5,58.0,7.48,7.58,4.63,17204,0.0
1.08,0,5,3.6,61.8,54.2,6.57,6.6,4.07,5357,0.0
0.31,3,5,3.1,63.8,56.0,4.27,4.32,2.74,489,0.2
0.41,0,1,3.1,60.5,58.0,4.81,4.85,2.92,997,0.0
0.52,2,1,6.5,62.9,56.0,5.12,5.15,3.23,1120,0.2
0.31,2,6,6.5,63.3,58.0,4.35,4.34,2.75,430,0.2
0.38,0,2,3.6,62.8,57.0,4.62,4.58,2.89,1026,0.2
0.9,0,4,6.0,61.1,58.0,6.24,6.19,3.79,3967,0.0
0.38,2,0,3.1,59.5,61.0,4.66,4.69,2.78,921,0.0
0.7,3,2,2.0,63.2,58.0,5.58,5.62,3.54,3018,0.2
0.74,0,3,2.5,60.7,56.0,5.9,5.88,3.58,3831,0.0
1.06,1,4,3.6,61.1,59.0,6.58,6.51,4.0,5152,0.0
0.71,2,5,6.0,60.0,56.0,5.86,5.83,3.51,2502,0.0
0.7,2,1,6.0,62.7,55.0,5.63,5.67,3.54,2575,0.2
0.41,0,2,3.1,62.1,56.0,4.77,4.8,2.97,1007,0.2
1.24,1,4,3.1,61.2,59.0,6.94,6.91,4.24,7493,0.0
0.58,2,6,3.6,62.9,58.0,5.3,5.32,3.34,1266,0.2
2.21,0,5,6.0,61.6,57.0,8.38,8.43,5.18,18062,0.0
0.9,0,3,6.0,62.1,56.0,6.2,6.16,3.84,4088,0.2
1.5,0,3,3.1,60.6,57.0,7.47,7.36,4.49,13034,0.0
1.05,0,2,2.5,61.5,57.0,6.51,6.57,4.02,9138,0.0
0.73,0,3,3.1,61.7,55.0,5.8,5.84,3.59,2948,0.0
1.04,2,2,0.0,59.8,56.0,6.64,6.71,3.99,10515,0.0
0.31,0,3,2.5,61.8,56.0,4.37,4.4,2.71,687,0.0
0.31,0,5,6.0,61.9,56.0,4.33,4.36,2.69,436,0.0
0.26,0,4,3.1,62.2,54.0,4.09,4.11,2.55,482,0.2
0.27,2,0,3.1,62.2,58.0,4.14,4.15,2.58,413,0.2
1.26,0,5,6.0,62.4,56.0,6.93,6.85,4.3,5645,0.2
0.41,1,1,3.1,61.9,59.0,4.8,4.77,2.96,1153,0.0
1.01,1,3,2.5,60.5,60.0,6.58,6.51,3.96,7665,0.0
0.7,1,2,6.0,60.2,58.0,5.76,5.7,3.45,2319,0.0
0.57,1,2,3.6,62.0,54.0,5.34,5.31,3.3,1760,0.0
1.72,4,0,6.5,64.6,58.0,7.53,7.46,4.84,8264,0.2
1.58,1,2,6.0,61.4,61.0,7.48,7.45,4.58,12512,0.0
1.51,0,3,3.6,61.8,55.0,7.43,7.39,4.58,12626,0.0
0.3,2,1,2.5,61.1,62.0,4.28,4.33,2.63,622,0.0
0.5,1,3,2.0,61.0,60.0,5.12,5.08,3.11,2070,0.0
1.03,0,1,2.5,61.7,56.0,6.49,6.51,4.01,11611,0.0
0.34,0,6,3.1,62.0,54.0,4.52,4.55,2.81,464,0.0
0.38,2,3,3.6,59.2,60.0,4.7,4.73,2.79,766,0.0
0.75,1,3,6.5,61.0,58.0,5.9,5.94,3.61,2216,0.0
0.53,2,3,6.5,60.8,58.0,5.19,5.21,3.16,1070,0.0
1.0,3,2,6.5,59.4,64.0,6.52,6.48,3.86,3259,0.0
0.58,0,1,6.5,62.4,58.0,5.32,5.35,3.33,1359,0.2
0.55,0,1,3.1,61.7,55.0,5.29,5.27,3.26,2079,0.0
1.01,0,4,6.5,61.3,59.0,6.5,6.46,3.97,4078,0.0
0.43,0,5,2.5,60.9,57.0,4.85,4.9,2.97,929,0.0
0.23,2,2,2.5,61.5,56.0,3.95,4.0,2.44,583,0.0
1.51,3,6,6.0,64.1,61.0,7.19,7.16,4.6,6511,0.2
1.2,1,3,2.5,59.7,60.0,7.0,6.91,4.15,9475,0.0
0.5,4,1,6.0,65.1,58.0,5.04,4.94,3.25,1114,0.2
1.01,2,5,6.5,63.4,57.0,6.3,6.39,4.02,5000,0.2
0.74,0,3,3.1,61.2,56.0,5.83,5.86,3.58,3635,0.0
0.41,1,0,6.5,61.2,59.0,4.77,4.8,2.93,683,0.0
0.36,2,4,3.6,61.0,55.0,4.62,4.66,2.83,583,0.0
0.61,3,1,3.6,60.8,59.0,5.41,5.48,3.31,2124,0.0
0.25,3,4,2.0,60.6,64.0,4.05,4.07,2.46,401,0.0
1.01,1,6,10.0,60.7,59.0,6.39,6.42,3.89,2488,0.0
1.08,3,0,6.0,63.8,59.0,6.47,6.39,4.1,5927,0.2
1.52,0,5,3.6,62.4,55.0,7.35,7.4,4.6,9352,0.2
0.32,2,5,3.1,63.1,56.0,4.4,4.38,2.77,648,0.2
1.52,2,2,3.6,62.9,53.3,7.31,7.36,4.61,15649,0.2
0.9,2,4,3.1,63.2,59.0,6.08,6.11,3.85,4324,0.2
0.42,0,4,0.0,61.0,56.0,4.82,4.79,2.93,1213,0.0
1.5,1,4,3.1,61.1,58.0,7.46,7.37,4.53,11007,0.0
1.01,2,2,3.6,61.7,57.0,6.39,6.44,3.96,6159,0.0
1.21,1,4,6.5,58.8,60.0,6.99,6.95,4.1,6098,0.2
0.59,0,0,6.0,61.0,57.0,5.46,5.43,3.32,1912,0.0
0.38,0,1,2.5,61.6,55.0,4.67,4.72,2.89,1100,0.0
0.7,1,2,6.0,61.3,59.0,5.71,5.74,3.51,2161,0.0
1.0,2,3,6.0,61.4,57.0,6.45,6.42,3.95,4919,0.0
1.02,0,3,6.5,61.0,57.0,6.51,6.58,3.99,4890,0.0
2.3,2,5,6.5,60.6,60.0,8.51,8.56,5.17,14603,0.0
0.51,1,0,3.6,60.9,58.0,5.18,5.14,3.14,1716,0.0
1.69,1,3,2.5,62.9,58.0,7.59,7.51,4.75,15889,0.2
0.51,2,3,2.5,63.5,55.0,5.09,5.05,3.22,1842,0.2
0.76,4,4,10.0,64.5,57.0,5.79,5.76,3.73,1140,0.2
0.31,2,3,2.0,62.8,57.0,4.3,4.33,2.71,761,0.2
0.82,1,3,6.0,61.8,58.0,6.02,5.98,3.71,3674,0.0
0.52,0,4,3.1,61.7,55.0,5.21,5.17,3.2,1790,0.0
0.66,2,1,6.5,61.3,57.2,5.59,5.66,3.45,1769,0.0
0.5,2,1,10.0,63.1,61.0,5.04,4.97,3.16,720,0.2
1.73,1,5,6.0,61.2,60.0,7.67,7.65,4.69,10957,0.0
1.3,1,3,6.5,61.8,57.0,7.02,6.94,4.32,5421,0.0
0.3,0,0,3.6,59.5,56.0,4.37,4.41,2.61,606,0.0
0.7,4,1,6.0,64.4,53.0,5.61,5.57,3.6,2697,0.2
0.31,0,2,0.0,62.2,56.0,4.34,4.31,2.69,1046,0.2
1.21,1,4,0.0,62.2,58.0,6.83,6.8,4.24,8446,0.2
0.7,1,3,3.6,62.1,58.0,5.68,5.63,3.51,2479,0.2
1.52,2,5,6.0,62.0,58.0,7.34,7.4,4.57,9664,0.0
1.11,1,4,6.5,61.6,60.0,6.6,6.67,4.09,4578,0.0
0.55,0,2,2.5,62.3,54.0,5.27,5.29,3.29,2558,0.2
0.72,0,3,3.6,62.0,56.0,5.75,5.79,3.58,2383,0.0
0.7,0,2,3.1,60.3,57.0,5.74,5.79,3.47,3359,0.0
0.34,1,2,3.6,61.2,59.0,4.49,4.53,2.76,686,0.0
0.41,1,2,2.5,61.6,59.0,4.79,4.73,2.93,1017,0.0
2.13,1,6,3.6,59.6,59.0,8.43,8.37,5.01,15110,0.0
2.32,0,6,3.1,62.5,54.5,8.44,8.47,5.28,17891,0.2
1.5,1,1,3.1,60.1,60.0,7.42,7.48,4.48,13513,0.0
1.23,0,3,2.5,61.0,55.0,6.95,6.93,4.23,9698,0.0
0.32,1,3,6.0,61.6,58.0,4.36,4.4,2.7,477,0.0
0.72,3,3,3.6,63.1,57.0,5.71,5.74,3.61,2708,0.2
0.81,1,2,6.0,61.3,60.0,6.0,5.94,3.66,2926,0.0
0.3,0,0,6.0,62.1,54.0,4.35,4.31,2.69,709,0.2
0.72,1,4,6.0,62.7,59.0,5.73,5.69,3.58,2398,0.2
0.54,0,3,6.5,61.4,56.0,5.27,5.29,3.24,1192,0.0
1.77,0,0,6.5,61.8,57.0,7.77,7.71,4.78,13026,0.0
0.33,2,4,2.5,61.8,57.0,4.43,4.46,2.74,614,0.0
1.35,0,6,6.0,62.3,57.0,7.08,7.02,4.39,6396,0.2
0.7,3,1,6.5,63.5,56.0,5.6,5.68,3.58,2453,0.2
0.4,0,0,6.0,61.3,57.0,4.74,4.79,2.92,726,0.0
0.31,0,1,3.1,61.2,55.0,4.42,4.4,2.7,967,0.0
1.46,1,3,3.1,62.3,58.0,7.25,7.2,4.5,12261,0.2
0.32,0,4,3.1,61.5,57.0,4.42,4.4,2.71,720,0.0
0.4,0,0,2.5,62.0,56.0,4.74,4.71,2.93,1323,0.0
0.7,2,4,6.0,62.9,56.0,5.64,5.68,3.56,2048,0.2
0.32,0,1,2.5,61.3,55.0,4.41,4.43,2.71,1010,0.0
1.01,3,2,6.0,64.1,60.0,6.21,6.16,3.97,4276,0.2
1.01,1,0,6.0,60.7,58.0,6.42,6.49,3.92,5599,0.0
0.81,2,4,6.5,62.1,56.0,5.95,5.99,3.71,2504,0.2
0.3,2,4,3.1,60.4,61.0,4.27,4.31,2.59,526,0.0
1.11,1,0,10.0,61.9,58.0,6.66,6.63,4.11,3655,0.0
0.34,0,0,2.0,61.5,56.0,4.47,4.5,2.76,1133,0.0
0.48,0,3,0.0,61.6,54.0,5.03,5.1,3.12,1859,0.0
0.9,3,2,3.6,65.0,58.0,6.03,6.06,3.93,4268,0.2
0.55,0,4,3.6,61.9,54.0,5.25,5.28,3.26,1402,0.0
1.0,1,2,3.1,62.3,61.0,6.38,6.33,3.96,7336,0.2
1.0,2,3,3.6,61.5,58.0,6.36,6.39,3.92,5860,0.0
1.01,1,3,6.0,62.1,56.0,6.42,6.36,3.97,4805,0.2
1.63,2,3,3.6,62.5,57.0,7.46,7.49,4.67,13253,0.2
2.01,2,4,6.5,62.2,63.0,8.01,7.93,4.96,12423,0.2
1.06,2,3,3.6,63.1,59.0,6.48,6.45,4.08,6325,0.2
0.32,1,4,2.0,61.4,58.0,4.38,4.41,2.7,730,0.0
0.31,3,4,6.0,63.6,57.0,4.33,4.32,2.75,573,0.2
0.34,1,1,2.0,61.7,58.0,4.48,4.43,2.75,1084,0.0
0.72,2,5,6.0,63.2,57.0,5.71,5.75,3.62,2345,0.2
1.0,2,2,3.1,63.7,57.0,6.33,6.35,4.04,7350,0.2
0.75,0,1,3.6,62.0,56.0,5.82,5.85,3.62,3120,0.0
0.71,1,0,6.0,61.7,56.0,5.8,5.68,3.54,2863,0.0
1.03,0,2,3.6,62.0,57.0,6.4,6.48,3.99,6902,0.0
0.57,1,1,3.6,62.0,58.0,5.38,5.33,3.32,1763,0.0
0.31,1,5,2.5,62.1,58.0,4.37,4.33,2.7,698,0.2
1.86,1,3,6.5,62.8,58.0,7.83,7.75,4.89,13420,0.2
1.33,2,6,6.0,64.0,53.0,6.93,7.01,4.46,5327,0.2
0.37,0,1,6.0,62.7,54.0,4.6,4.55,2.87,833,0.2
1.02,3,2,3.6,64.2,59.0,6.4,6.28,4.07,6397,0.2
0.31,0,5,2.0,61.3,56.0,4.36,4.38,2.68,557,0.0
1.04,0,1,6.0,62.0,57.0,6.47,6.5,4.02,4530,0.0
0.31,2,4,2.0,63.1,57.0,4.31,4.25,2.7,907,0.2
1.0,2,3,3.1,59.4,59.0,6.52,6.54,3.88,6867,0.0
0.91,2,3,6.5,60.3,59.0,6.23,6.28,3.77,3189,0.0
0.3,1,0,6.0,62.6,59.0,4.23,4.27,2.66,552,0.2
0.78,1,0,6.0,61.8,59.0,5.93,5.88,3.65,3103,0.0
2.13,2,3,6.5,57.9,60.0,8.41,8.56,4.91,16462,0.2
1.08,0,4,6.5,62.0,57.0,6.65,6.55,4.06,3629,0.0
1.21,1,3,2.5,59.6,60.0,6.89,6.91,4.11,9370,0.0
0.31,0,0,3.6,62.5,56.0,4.32,4.29,2.69,942,0.2
0.35,0,3,3.1,62.1,56.0,4.52,4.56,2.82,706,0.2
0.71,0,2,6.5,61.4,55.0,5.76,5.78,3.54,2525,0.0
1.04,4,2,10.0,65.4,60.0,6.39,6.3,4.15,2134,0.2
0.54,0,2,3.6,62.0,55.0,5.25,5.32,3.28,1563,0.0
1.53,2,1,6.0,60.8,60.0,7.43,7.51,4.54,12386,0.0
0.51,3,3,2.0,63.2,58.0,5.08,5.11,3.22,1872,0.2
1.52,1,3,3.6,62.8,60.0,7.26,7.22,4.55,13768,0.2
0.71,2,5,6.0,58.9,59.0,5.78,5.84,3.42,2141,0.2
0.53,0,2,2.5,62.2,54.0,5.22,5.19,3.24,2290,0.2
1.22,1,3,3.6,61.8,58.0,6.84,6.91,4.25,8213,0.0
0.26,2,1,2.5,62.6,58.0,4.07,4.11,2.56,597,0.2
1.02,1,1,6.5,60.5,58.0,6.58,6.54,3.97,4478,0.0
0.33,0,0,3.6,62.3,56.0,4.46,4.43,2.77,1002,0.2
0.51,1,3,2.5,59.1,59.0,5.18,5.21,3.07,1875,0.0
0.3,1,1,3.6,62.6,58.0,4.26,4.3,2.68,658,0.2
0.61,2,3,2.0,61.1,56.0,5.47,5.5,3.35,2569,0.0
0.24,0,2,2.5,61.5,56.0,3.99,4.01,2.46,540,0.0
1.23,0,5,6.5,60.6,57.0,6.97,6.88,4.2,4805,0.0
0.53,0,0,6.0,62.2,56.0,5.19,5.23,3.24,1631,0.2
0.71,1,3,6.5,62.4,59.0,5.67,5.61,3.52,1963,0.2
0.41,0,5,3.1,61.9,55.0,4.79,4.81,2.97,824,0.0
0.71,0,5,3.1,61.3,57.0,5.73,5.76,3.52,2965,0.0
1.08,1,4,6.0,62.6,58.0,6.56,6.53,4.1,5171,0.2
1.11,2,5,6.5,62.5,58.0,6.59,6.65,4.14,4442,0.2
0.3,0,3,6.5,61.6,56.0,4.32,4.35,2.67,422,0.0
0.52,0,0,3.6,61.4,56.0,5.16,5.19,3.18,1664,0.0
0.31,3,4,3.1,59.2,65.0,4.42,4.33,2.59,651,0.0
1.23,3,0,10.0,63.7,58.0,6.79,6.72,4.3,4050,0.2
1.51,0,2,6.5,62.6,55.0,7.39,7.35,4.61,9471,0.2
0.56,0,0,3.1,60.4,56.0,5.33,5.36,3.23,1924,0.0
0.44,1,5,2.0,61.5,58.0,4.87,4.95,3.02,926,0.0
0.3,0,1,3.1,60.6,56.0,4.35,4.36,2.64,735,0.0
1.51,0,3,2.5,62.1,58.0,7.34,7.31,4.54,15529,0.2
0.32,0,3,3.1,61.6,55.0,4.43,4.46,2.74,665,0.0
0.57,0,2,3.1,62.6,56.0,5.27,5.33,3.32,1949,0.2
0.4,0,3,2.0,61.4,55.0,4.76,4.72,2.91,1200,0.0
1.2,2,1,6.0,62.7,57.0,6.7,6.79,4.23,7310,0.2
0.52,1,1,6.0,61.6,58.0,5.17,5.12,3.17,1605,0.0
0.5,1,0,6.0,63.0,60.0,5.06,5.03,3.18,1588,0.2
0.31,0,0,3.6,62.7,57.0,4.34,4.3,2.71,942,0.2
0.5,3,1,6.0,64.2,59.0,5.03,4.97,3.21,1090,0.2
0.3,2,2,6.5,62.6,61.0,4.2,4.24,2.64,394,0.2
2.01,2,1,6.5,60.6,59.0,8.11,8.25,4.96,17118,0.0
0.43,0,4,6.0,61.6,55.0,4.9,4.87,3.01,919,0.0
2.02,1,5,3.1,61.2,59.0,8.13,8.05,4.95,17153,0.0
0.59,2,1,3.6,62.3,55.0,5.39,5.43,3.37,1789,0.2
0.33,0,5,3.6,61.5,57.0,4.49,4.42,2.74,594,0.0
0.41,2,0,6.0,59.2,62.0,4.82,4.85,2.86,738,0.0
1.5,1,6,3.1,62.0,61.0,7.37,7.24,4.53,7832,0.0
1.04,0,3,3.6,60.7,56.0,6.59,6.54,3.99,7415,0.0
0.32,0,3,2.5,62.2,56.0,4.34,4.38,2.71,730,0.2
0.3,0,1,6.0,62.9,57.0,4.3,4.25,2.69,675,0.2
1.14,1,3,3.6,61.9,58.0,6.72,6.68,4.15,6256,0.0
0.72,0,2,3.6,61.1,56.0,5.83,5.79,3.55,2607,0.0
0.77,2,2,2.5,63.5,59.0,5.77,5.72,3.65,3415,0.2
0.71,1,2,3.1,59.1,59.0,5.88,5.83,3.46,2920,0.0
0.9,2,2,6.5,62.4,57.0,6.11,6.16,3.83,3368,0.2
0.31,0,1,0.0,60.9,55.0,4.39,4.41,2.68,987,0.0
2.07,0,2,6.5,60.5,57.0,8.28,8.21,4.99,13373,0.0
0.36,1,1,3.6,60.3,59.0,4.64,4.58,2.78,1013,0.0
0.85,1,3,3.6,61.0,58.0,6.11,6.08,3.72,3237,0.0
1.12,1,3,10.0,60.3,60.0,6.75,6.69,4.05,3017,0.0
1.3,1,5,3.6,60.3,60.0,7.01,6.99,4.22,5242,0.0
1.21,2,2,6.0,59.4,56.0,6.95,7.0,4.14,6708,0.0
0.7,2,3,6.0,62.7,55.0,5.63,5.66,3.54,2281,0.2
0.76,1,0,6.0,61.6,59.0,5.84,5.82,3.59,2942,0.0
1.31,3,3,6.5,63.8,56.0,7.03,6.89,4.44,4864,0.2
0.25,2,1,2.0,61.5,56.0,4.06,4.08,2.5,560,0.0
0.23,2,2,2.0,63.2,58.0,3.89,3.93,2.47,505,0.2
1.01,3,2,3.6,60.8,61.0,6.42,6.45,3.91,6271,0.0
0.7,0,6,6.5,60.9,57.0,5.72,5.76,3.49,1832,0.0
