carat,cut,color,clarity,depth,table,price,depth_categories
0.4,0,3,2.0,61.8,56.0,1097,0.0
1.04,3,3,3.1,63.8,57.0,6360,0.2
0.7,0,3,3.1,61.4,59.0,2780,0.0
1.0,2,2,2.5,61.1,55.0,8227,0.0
0.51,0,3,2.5,61.5,57.0,1875,0.0
0.29,4,0,3.6,64.7,62.0,592,0.2
0.41,0,0,3.6,61.6,55.0,1007,0.0
0.7,0,2,6.0,61.0,56.0,2700,0.0
0.36,2,1,2.5,60.2,59.0,742,0.0
0.23,3,1,2.0,59.9,65.0,439,0.0
0.73,0,2,6.5,62.2,60.0,2355,0.2
0.9,0,5,3.1,61.3,55.0,4093,0.0
0.5,3,0,6.5,63.2,56.0,1157,0.2
1.53,4,6,3.6,64.7,58.0,6659,0.2
0.3,0,6,2.5,62.1,56.0,439,0.2
0.31,0,5,6.0,61.3,56.0,436,0.0
1.33,1,4,6.5,61.9,58.0,5214,0.0
1.01,0,3,6.5,62.1,57.0,4350,0.2
0.71,0,6,6.0,62.6,57.0,1609,0.2
2.3,0,6,3.6,62.4,56.0,16062,0.2
0.38,0,1,6.0,62.1,55.0,685,0.2
0.32,2,4,6.0,62.2,56.0,449,0.2
1.09,2,1,6.5,62.2,58.0,5165,0.2
0.4,0,0,2.0,61.8,55.0,1754,0.0
0.32,2,4,3.6,63.0,57.0,505,0.2
0.3,0,4,2.5,61.1,55.0,605,0.0
0.5,4,2,3.6,64.9,58.0,1225,0.2
1.51,3,5,6.0,63.7,58.0,8313,0.2
1.0,1,3,2.5,62.8,59.0,7840,0.2
2.13,1,5,6.5,59.8,58.0,12980,0.0
1.51,0,3,6.5,60.5,55.0,8794,0.0
0.9,0,2,6.0,62.5,56.0,4054,0.2
1.49,4,2,6.0,59.6,63.0,8779,0.0
0.42,1,2,3.1,59.9,61.0,1103,0.0
0.71,3,1,6.0,59.2,61.0,2651,0.0
0.3,0,4,0.0,61.3,58.0,764,0.0
1.05,0,3,6.5,62.7,57.0,5127,0.2
0.4,0,2,3.6,60.6,55.0,1080,0.0
0.7,0,2,6.0,61.1,56.0,2671,0.0
1.54,0,2,3.6,61.0,56.0,17029,0.0
0.27,2,2,2.0,61.8,55.0,604,0.0
0.5,1,1,6.0,61.4,58.0,1155,0.0
0.57,2,2,2.5,62.6,58.0,1902,0.2
1.51,3,2,6.0,64.2,57.0,10514,0.2
0.54,0,3,2.0,61.3,56.0,2041,0.0
0.56,2,1,6.0,58.5,59.0,1785,0.2
1.04,1,5,6.0,62.0,57.0,4368,0.0
0.39,0,3,2.0,62.3,57.0,1170,0.2
1.2,3,2,3.6,63.8,60.0,7666,0.2
0.9,0,2,3.6,62.6,56.0,4801,0.2
0.71,2,1,3.6,63.4,61.0,2450,0.2
0.7,2,2,3.6,61.3,54.0,2928,0.0
0.8,1,5,3.6,62.9,61.0,2616,0.2
0.7,1,2,6.0,60.5,58.0,2264,0.0
1.2,1,3,3.6,62.1,61.0,7728,0.2
0.9,1,4,3.1,60.2,58.0,4234,0.0
1.53,1,3,2.5,62.5,60.0,15365,0.2
1.24,0,5,6.0,61.1,60.0,5976,0.0
0.7,0,0,3.1,62.6,58.0,3287,0.2
0.31,1,6,6.0,60.9,60.0,465,0.0
1.3,0,0,2.0,61.6,55.7,15535,0.0
0.53,0,3,2.5,62.5,54.0,1818,0.2
0.41,0,2,2.5,61.9,55.0,1192,0.0
0.32,1,3,0.0,59.4,59.0,1020,0.0
1.27,1,2,6.5,61.0,61.0,5428,0.0
0.53,1,4,3.6,61.4,52.0,1412,0.0
1.02,1,0,6.0,62.5,59.0,5998,0.2
1.06,2,3,3.1,63.1,57.0,6663,0.2
0.67,3,0,6.5,64.7,55.0,1664,0.2
0.72,3,3,3.6,63.4,53.0,2311,0.2
0.57,1,5,3.1,61.6,58.0,1212,0.0
0.31,0,4,2.0,61.9,55.0,687,0.0
0.74,1,4,3.1,60.6,60.0,2744,0.0
1.01,2,5,6.0,62.1,59.0,4418,0.2
0.33,2,5,3.1,63.2,57.0,668,0.2
0.72,0,6,6.0,61.9,54.0,1864,0.0
0.77,0,3,3.6,61.7,55.0,3786,0.0
0.58,0,1,3.6,62.3,54.0,1809,0.2
0.76,2,5,3.1,63.1,58.0,2601,0.2
0.9,1,5,3.6,61.9,59.0,2857,0.0
1.0,1,4,6.5,63.0,61.0,4088,0.2
1.13,1,4,6.5,59.4,58.0,4430,0.0
1.5,2,2,6.5,58.5,55.0,9236,0.2
1.6,1,4,6.0,62.1,60.0,9017,0.2
0.35,0,1,3.1,61.6,55.1,771,0.0
0.32,2,5,3.1,59.8,60.0,505,0.0
1.51,0,3,2.5,62.3,55.0,14616,0.2
0.72,0,4,6.0,62.2,58.0,2458,0.2
1.03,3,2,3.6,63.9,59.0,6543,0.2
0.31,1,3,3.6,62.4,59.0,698,0.2
0.59,0,2,6.5,61.8,55.0,1265,0.0
0.51,1,2,2.5,62.3,58.0,2056,0.2
1.0,4,0,2.5,61.1,57.0,10562,0.0
1.04,0,4,6.0,62.7,54.0,4515,0.2
1.01,2,2,6.0,60.3,60.0,4972,0.0
1.01,4,0,3.6,65.6,61.0,6176,0.2
0.61,3,4,3.1,60.1,60.3,1706,0.0
1.11,1,3,6.5,62.3,58.0,4755,0.2
0.33,0,2,2.0,61.5,56.0,964,0.0
0.65,1,0,2.5,59.9,58.0,3003,0.0
0.91,1,0,6.5,62.2,59.0,4123,0.2
0.42,0,3,3.6,60.8,57.0,847,0.0
0.92,1,3,6.5,59.4,62.0,3555,0.0
0.33,3,1,6.0,63.3,56.0,579,0.2
0.72,2,6,6.0,63.0,57.0,1966,0.2
0.62,0,3,6.5,60.6,57.0,1395,0.0
0.42,3,2,6.0,63.4,56.0,722,0.2
1.51,0,3,0.0,61.7,55.0,18806,0.0
1.25,2,6,3.1,61.8,58.0,5628,0.0
0.5,0,4,3.6,62.3,55.0,1921,0.2
0.3,0,4,3.1,62.1,54.0,526,0.2
0.51,0,0,3.1,62.4,57.0,1873,0.2
1.2,3,4,3.6,62.6,56.0,6468,0.2
0.71,0,2,3.1,61.5,57.0,3710,0.0
2.45,0,6,3.6,60.4,56.0,18113,0.0
0.31,0,3,2.0,62.5,57.0,1046,0.2
1.0,3,4,6.5,63.2,60.0,3991,0.2
2.02,0,6,6.0,62.4,56.0,12591,0.2
0.26,2,1,2.0,61.8,59.0,539,0.0
0.96,1,1,6.0,58.7,62.0,4365,0.2
0.33,1,3,2.0,61.9,59.0,868,0.0
0.3,0,1,3.1,62.1,58.0,694,0.2
1.01,3,0,3.1,63.1,59.0,7955,0.2
1.01,0,3,6.5,59.3,60.0,4556,0.0
0.71,1,5,6.5,60.3,58.0,1821,0.0
0.42,0,3,0.0,61.6,56.0,1400,0.0
0.4,1,3,3.6,61.9,58.0,966,0.0
0.37,1,2,3.6,60.6,58.0,746,0.0
0.5,3,4,2.0,63.3,57.0,1596,0.2
0.51,0,3,3.1,61.9,56.0,1781,0.0
0.34,0,1,3.6,62.1,54.1,758,0.2
1.04,4,3,6.5,66.1,60.0,3564,0.2
1.0,1,2,3.6,62.4,60.0,6352,0.2
0.5,0,3,3.6,61.7,54.0,1449,0.0
0.51,2,6,6.0,62.6,59.0,930,0.2
1.12,1,5,3.1,62.2,59.0,5058,0.2
0.76,1,0,6.0,61.1,59.0,2847,0.0
0.83,4,4,6.5,65.1,59.0,2133,0.2
1.03,0,2,10.0,61.0,56.0,3634,0.0
0.36,1,2,3.6,62.0,59.0,807,0.0
0.71,3,2,6.0,66.2,55.0,2396,0.2
0.4,1,2,6.0,62.5,59.0,945,0.2
0.5,1,3,3.1,59.8,58.0,1624,0.0
1.0,4,3,3.6,63.7,55.0,5484,0.2
0.39,0,3,0.0,60.6,56.0,1209,0.0
0.72,0,5,2.5,61.6,57.0,2602,0.0
0.31,1,4,3.6,62.4,59.0,628,0.2
1.01,3,3,6.0,64.2,56.0,4138,0.2
0.9,2,3,3.6,62.4,61.0,4210,0.2
0.31,0,3,2.5,61.9,55.0,707,0.0
0.31,0,0,2.0,60.4,56.0,984,0.0
0.32,1,0,6.0,60.9,60.0,756,0.0
1.52,0,4,6.0,61.5,58.0,10589,0.0
0.4,2,0,3.6,62.3,58.0,746,0.2
0.87,0,4,6.5,63.0,57.0,2307,0.2
1.2,1,3,6.5,61.8,60.0,4524,0.0
0.5,2,3,6.5,63.3,57.0,1063,0.2
0.51,0,2,2.5,61.7,56.0,1998,0.0
0.32,1,3,0.0,61.0,59.0,891,0.0
1.04,1,4,2.0,60.4,58.0,5102,0.0
0.32,0,1,3.6,61.3,56.0,612,0.0
1.01,1,0,6.0,58.9,58.0,5532,0.2
0.4,1,3,6.5,61.9,61.0,765,0.0
1.6,0,3,6.0,62.1,56.0,11651,0.2
0.34,1,2,3.1,60.0,59.0,725,0.0
0.7,3,5,6.0,63.6,61.0,2034,0.2
1.08,2,4,3.6,62.2,57.0,5155,0.2
0.3,0,1,2.0,61.2,57.0,956,0.0
0.55,0,2,3.6,61.7,57.0,1819,0.0
0.76,0,0,6.5,62.4,57.0,2770,0.2
1.0,2,1,2.5,63.5,55.0,8910,0.2
1.2,1,3,3.6,61.4,60.0,7603,0.0
0.31,0,2,0.0,61.3,57.0,914,0.0
0.55,1,3,6.0,61.3,59.0,1316,0.0
0.4,2,2,3.1,61.2,58.0,847,0.0
0.39,2,1,3.6,62.7,59.0,794,0.2
0.6,2,4,6.0,60.4,63.0,1378,0.0
1.0,2,5,6.0,63.3,56.0,4538,0.2
0.32,0,2,0.0,62.2,55.0,1010,0.2
0.42,0,3,2.5,62.4,55.0,1103,0.2
0.4,1,2,3.6,61.0,58.0,842,0.0
0.5,2,2,6.5,62.2,54.0,997,0.2
1.07,2,1,0.0,58.6,63.0,11475,0.2
0.59,0,3,6.0,61.3,56.0,1891,0.0
0.75,0,1,6.0,61.4,55.0,3049,0.0
1.5,0,3,3.6,62.6,56.0,12468,0.2
1.1,0,3,3.1,62.0,58.0,8060,0.0
0.54,0,2,6.5,62.0,54.0,1098,0.0
0.7,0,4,6.5,61.1,57.0,1817,0.0
0.42,0,5,2.5,61.2,57.0,1299,0.0
1.01,3,1,6.5,63.7,58.0,4751,0.2
0.71,3,5,3.1,59.1,63.4,2239,0.0
0.7,1,4,6.5,61.3,61.0,1749,0.0
1.67,1,5,3.6,61.9,56.0,10736,0.0
0.5,0,2,2.5,60.5,56.0,2210,0.0
0.51,2,3,6.0,63.1,56.0,1261,0.2
1.15,1,4,6.5,62.4,57.0,4508,0.2
1.17,0,5,3.1,61.5,57.0,5892,0.0
0.31,0,1,3.1,60.4,57.0,942,0.0
0.25,1,1,3.1,61.5,60.0,558,0.0
1.55,3,6,3.1,62.3,56.0,8076,0.2
1.52,0,1,6.5,61.0,56.0,8299,0.0
1.72,2,1,6.0,62.2,58.0,15948,0.2
0.35,3,0,6.0,57.7,60.0,739,0.2
1.03,0,1,6.0,62.2,57.0,5234,0.2
0.53,2,0,0.0,59.8,60.0,3827,0.0
0.9,3,3,6.0,63.7,60.0,3669,0.2
0.43,0,2,3.6,61.4,54.0,848,0.0
1.9,4,4,6.5,67.1,64.0,8576,0.6
0.32,1,4,3.6,60.6,58.0,505,0.0
0.44,1,0,6.0,61.9,59.0,1089,0.0
1.02,0,3,3.1,61.1,56.0,7077,0.0
2.27,3,6,3.1,59.3,61.0,17051,0.0
0.8,1,0,6.0,59.4,55.0,3226,0.0
0.34,2,4,2.0,62.9,57.0,775,0.2
0.91,3,4,6.0,63.7,60.0,3229,0.2
1.01,0,0,6.5,62.5,57.0,5206,0.2
0.3,0,0,6.0,61.9,55.0,524,0.0
1.3,1,2,6.0,61.4,59.0,8164,0.0
0.4,2,0,3.1,62.9,56.0,1123,0.2
1.05,0,2,2.0,59.0,60.0,12315,0.0
0.39,0,2,2.0,61.7,57.0,1148,0.0
1.53,2,3,3.6,58.9,59.0,13225,0.2
2.04,1,5,10.0,61.1,61.0,7403,0.0
1.05,1,1,0.0,59.0,58.0,11946,0.0
2.21,2,3,6.5,60.7,62.0,15825,0.0
0.32,0,4,2.0,61.9,54.0,708,0.0
0.9,3,5,0.0,63.7,64.0,3669,0.2
0.4,0,1,3.1,60.1,57.0,931,0.0
0.32,1,1,6.0,60.2,60.0,561,0.0
0.83,1,0,6.5,62.7,56.0,3078,0.2
1.01,3,2,3.6,65.2,57.0,5700,0.2
0.31,1,1,6.0,62.7,58.0,471,0.2
0.5,4,2,10.0,57.5,66.0,827,0.2
1.31,1,5,3.6,62.4,61.0,6921,0.2
0.7,2,0,6.0,62.5,63.0,2374,0.2
1.01,2,6,6.0,62.9,56.0,3749,0.2
0.34,0,1,6.0,62.0,57.0,765,0.0
0.73,0,1,6.5,61.5,55.0,2896,0.0
1.22,0,5,3.6,59.5,57.0,5761,0.0
1.5,0,4,3.1,61.0,56.8,11557,0.0
0.34,0,1,2.5,62.4,55.0,944,0.2
1.41,3,0,6.5,63.9,60.0,7501,0.2
1.01,2,4,6.0,62.1,60.0,4432,0.2
0.5,3,0,6.0,63.3,56.0,1436,0.2
0.3,2,4,3.1,63.1,57.0,675,0.2
0.91,0,3,6.5,61.8,56.0,3557,0.0
2.3,1,5,6.5,61.3,58.0,11051,0.0
1.0,1,4,3.6,63.0,59.0,4791,0.2
1.12,1,5,6.0,62.0,56.0,4641,0.0
0.37,1,2,3.6,59.7,62.0,894,0.0
0.55,1,0,2.5,61.2,57.0,2366,0.0
0.9,3,3,6.0,64.2,58.0,3307,0.2
1.55,0,6,3.1,59.5,60.0,8959,0.0
0.32,0,0,6.0,59.6,57.0,589,0.0
2.0,3,5,3.1,58.8,65.0,15851,0.2
0.93,2,3,6.5,62.7,57.0,3738,0.2
0.31,2,1,6.0,63.4,55.0,698,0.2
0.71,4,5,3.6,61.6,67.0,1840,0.0
1.51,1,3,6.0,62.3,59.0,7577,0.2
1.0,3,3,3.6,58.6,65.0,5242,0.2
0.7,3,5,3.1,63.1,57.0,2390,0.2
1.58,0,4,3.6,62.7,56.0,11365,0.2
0.41,0,3,3.6,62.1,57.0,827,0.2
0.34,1,0,6.5,60.8,60.0,507,0.0
1.4,0,3,3.6,61.7,56.0,10311,0.0
1.0,1,2,3.6,61.9,59.0,6640,0.0
0.4,0,6,2.5,61.9,55.0,662,0.0
0.71,0,2,6.0,61.3,57.0,2699,0.0
0.44,2,4,0.0,61.1,57.0,1194,0.0
0.59,2,4,3.1,62.4,58.0,1561,0.2
0.72,1,3,6.0,60.8,58.0,2318,0.0
0.35,0,3,3.6,62.5,53.0,615,0.2
0.4,2,4,3.6,62.1,56.0,746,0.2
1.02,2,1,0.0,63.5,58.0,10710,0.2
1.69,0,0,6.0,60.8,57.0,15011,0.0
0.51,1,2,6.5,61.1,59.0,1227,0.0
0.9,0,3,3.6,62.6,57.0,4269,0.2
0.8,0,1,3.6,62.2,57.0,3648,0.2
0.51,0,3,2.5,61.3,56.0,1902,0.0
0.31,0,3,2.0,61.9,55.0,1046,0.0
0.56,0,1,6.0,61.6,56.0,1691,0.0
1.57,0,5,6.0,62.4,53.6,9460,0.2
0.31,0,1,3.1,61.6,56.0,734,0.0
0.77,3,0,3.6,63.1,57.0,3489,0.2
1.5,4,3,6.0,65.5,58.0,8627,0.2
0.3,1,3,0.0,60.0,59.0,895,0.0
0.3,0,4,2.5,61.9,56.0,542,0.0
0.71,0,2,3.1,61.5,57.0,3404,0.0
0.33,1,5,0.0,62.0,58.0,891,0.0
0.51,0,3,0.0,61.3,56.0,2163,0.0
0.49,3,2,3.1,59.5,62.0,1182,0.0
0.39,2,3,2.5,63.4,57.0,956,0.2
0.59,0,5,3.1,61.8,55.0,1401,0.0
0.91,1,5,6.5,60.2,59.0,2981,0.0
1.03,1,2,6.0,61.5,57.0,5087,0.0
1.53,1,4,6.0,59.5,59.0,10398,0.0
0.54,0,3,2.5,62.4,53.4,1962,0.2
0.43,0,2,3.6,61.1,57.0,1066,0.0
0.38,2,2,3.1,62.8,56.0,933,0.2
0.4,2,3,6.5,63.1,59.0,765,0.2
1.27,1,2,3.1,60.3,58.0,10028,0.0
0.78,0,5,3.6,60.9,57.0,2422,0.0
0.71,3,0,6.0,63.1,56.0,2719,0.2
0.5,1,1,6.5,61.3,56.0,1240,0.0
0.61,0,3,3.1,62.4,55.0,2177,0.2
0.5,1,0,6.0,62.4,60.0,1436,0.2
2.28,1,6,3.6,62.9,58.0,16564,0.2
1.54,0,5,3.1,61.3,55.0,12401,0.0
0.32,0,0,3.6,62.7,57.0,758,0.2
0.42,1,3,3.1,60.8,59.0,921,0.0
0.83,0,1,3.1,62.2,56.0,5151,0.2
0.7,0,5,3.1,62.4,56.0,2398,0.2
1.07,0,3,3.6,62.4,55.0,6648,0.2
2.03,1,5,3.6,60.5,62.0,16309,0.0
0.3,0,2,3.1,61.9,56.0,612,0.0
0.32,0,2,3.1,61.9,56.0,716,0.0
1.22,2,5,6.5,62.9,56.0,5072,0.2
0.54,0,5,3.6,61.5,55.0,1259,0.0
1.2,1,3,2.5,62.4,56.0,8870,0.2
1.01,3,2,6.5,64.0,56.0,3768,0.2
0.3,0,1,3.1,62.5,56.0,694,0.2
1.3,0,2,2.5,62.1,55.0,12745,0.2
0.41,0,4,6.5,60.8,57.0,787,0.0
0.77,0,1,6.5,62.1,56.0,2753,0.2
2.06,1,2,10.0,58.7,61.0,9967,0.2
1.0,1,3,6.5,60.7,59.0,3427,0.0
1.12,2,0,6.5,59.3,59.0,5243,0.0
0.71,0,3,3.1,61.8,55.0,3431,0.0
0.5,1,1,6.5,61.8,59.0,1181,0.0
1.01,4,1,6.5,57.1,59.0,4600,0.2
0.7,2,2,3.6,61.6,58.0,2362,0.0
1.01,3,0,6.5,57.6,62.0,4338,0.2
0.3,2,5,2.5,61.9,61.0,526,0.0
0.33,0,4,0.0,61.8,55.2,806,0.0
0.4,1,0,3.6,60.5,59.0,1050,0.0
1.01,3,2,6.5,63.9,54.0,4416,0.2
0.3,0,3,6.0,62.8,56.0,574,0.2
0.76,2,2,6.5,63.3,55.0,2347,0.2
1.51,1,3,6.0,60.4,58.0,10655,0.0
0.3,1,5,3.1,58.8,61.0,608,0.2
1.55,2,3,3.1,60.8,60.0,14386,0.0
0.67,1,3,2.5,60.1,60.0,2658,0.0
1.53,0,2,6.0,61.5,56.0,12616,0.0
0.41,2,2,0.0,63.3,56.0,1255,0.2
0.35,3,0,6.0,63.3,57.0,644,0.2
0.9,2,4,6.5,61.2,57.0,3481,0.0
1.11,2,4,6.0,61.9,58.0,5780,0.0
0.51,2,1,3.6,60.2,62.0,1393,0.0
1.08,0,6,6.5,61.8,57.0,3537,0.0
0.96,4,4,10.0,61.5,63.0,1637,0.0
1.0,1,2,10.0,62.4,59.0,3344,0.2
1.01,1,5,2.0,62.0,59.0,4989,0.0
0.32,0,4,3.6,61.7,57.0,529,0.0
0.98,2,4,6.5,63.4,57.0,3091,0.2
1.13,0,1,10.0,62.0,55.0,3797,0.0
1.5,2,2,6.0,63.0,55.0,10372,0.2
0.32,0,4,2.0,61.9,55.0,936,0.0
0.7,2,2,6.0,60.6,58.0,2231,0.0
1.12,1,3,2.0,58.9,60.0,8219,0.2
1.13,1,4,6.0,62.3,58.0,5194,0.2
0.5,2,3,2.0,59.6,63.0,1887,0.0
0.59,0,1,2.5,62.0,55.0,2761,0.0
0.9,1,2,6.5,61.4,62.0,3704,0.0
1.03,1,4,3.1,61.2,58.0,5744,0.0
0.9,0,2,6.0,60.7,57.0,4324,0.0
0.3,0,0,6.0,62.2,56.0,709,0.2
0.53,0,2,6.0,60.0,57.0,1908,0.0
0.35,0,3,6.5,61.2,56.0,517,0.0
0.55,0,6,3.1,62.3,56.0,1550,0.2
0.39,0,0,3.6,61.4,56.0,1197,0.0
1.32,1,2,6.5,60.6,60.0,6541,0.0
1.0,1,1,6.0,62.6,60.0,5445,0.2
0.75,2,6,6.0,62.4,56.0,2083,0.2
1.01,1,5,6.0,61.8,59.0,4166,0.0
0.92,1,4,6.0,59.2,60.0,2968,0.0
0.7,1,1,3.1,62.9,60.0,2782,0.2
0.51,0,1,2.5,62.4,59.0,2559,0.2
0.34,0,4,2.0,62.0,54.0,775,0.0
1.0,0,5,3.1,63.1,57.0,4664,0.2
0.51,2,3,2.5,63.4,57.0,1895,0.2
0.31,0,0,6.0,61.8,56.0,732,0.0
0.7,3,4,6.0,63.8,58.0,2176,0.2
1.04,0,4,6.5,61.7,57.0,4461,0.0
0.31,0,3,2.0,60.2,58.0,789,0.0
0.34,3,4,6.0,63.7,57.0,628,0.2
0.7,1,5,3.1,61.7,61.0,2234,0.0
1.7,1,1,6.0,60.1,58.0,15804,0.0
0.52,0,2,2.5,61.6,57.0,2168,0.0
1.06,0,3,3.1,60.7,56.0,7594,0.0
0.92,3,0,6.5,59.0,58.0,3936,0.0
0.75,0,1,3.6,60.2,57.0,3192,0.0
0.78,0,2,6.5,60.6,55.0,2365,0.0
0.59,1,4,2.5,62.3,55.0,1886,0.2
0.48,2,0,0.0,60.6,55.0,2677,0.0
0.48,2,1,6.0,62.7,58.5,1349,0.2
1.51,0,6,3.6,61.7,57.0,7847,0.0
1.08,1,4,6.0,62.6,58.0,5078,0.2
0.31,1,5,2.5,61.7,58.0,544,0.0
0.56,1,1,3.6,61.4,61.0,1915,0.0
0.53,0,1,3.6,61.8,55.0,2163,0.0
0.51,0,4,2.5,61.0,57.0,1574,0.0
0.41,2,2,2.0,62.3,54.0,1161,0.2
1.0,2,2,6.5,62.9,56.0,4255,0.2
0.31,2,0,6.5,62.9,59.0,462,0.2
0.42,0,3,3.1,61.8,56.0,921,0.0
0.38,2,1,2.0,60.0,59.0,1053,0.0
0.71,3,5,6.0,60.9,64.0,2087,0.0
1.08,0,5,6.5,62.3,57.0,4130,0.2
0.36,0,1,3.1,62.0,56.0,852,0.0
1.09,0,6,3.6,61.3,57.0,4131,0.0
0.91,3,6,3.6,61.3,61.0,3290,0.0
1.5,1,4,0.0,63.0,59.0,13107,0.2
1.02,1,3,6.5,62.5,58.0,3656,0.2
0.41,0,1,6.5,60.7,57.0,683,0.0
2.01,1,6,6.0,61.7,60.0,9793,0.0
0.4,1,3,6.0,62.0,59.0,702,0.0
0.5,1,3,6.0,63.0,56.0,1138,0.2
0.7,0,1,6.0,60.9,57.0,2768,0.0
1.03,3,6,3.6,63.7,56.0,3795,0.2
1.12,0,0,3.1,61.1,57.0,9694,0.0
0.34,1,0,6.5,59.2,59.0,507,0.0
0.39,0,3,3.1,61.3,56.0,752,0.0
1.6,1,3,2.0,61.5,58.0,17204,0.0
1.08,0,5,3.6,61.8,54.2,5357,0.0
0.31,3,5,3.1,63.8,56.0,489,0.2
0.41,0,1,3.1,60.5,58.0,997,0.0
0.52,2,1,6.5,62.9,56.0,1120,0.2
0.31,2,6,6.5,63.3,58.0,430,0.2
0.38,0,2,3.6,62.8,57.0,1026,0.2
0.9,0,4,6.0,61.1,58.0,3967,0.0
0.38,2,0,3.1,59.5,61.0,921,0.0
0.7,3,2,2.0,63.2,58.0,3018,0.2
0.74,0,3,2.5,60.7,56.0,3831,0.0
1.06,1,4,3.6,61.1,59.0,5152,0.0
0.71,2,5,6.0,60.0,56.0,2502,0.0
0.7,2,1,6.0,62.7,55.0,2575,0.2
0.41,0,2,3.1,62.1,56.0,1007,0.2
1.24,1,4,3.1,61.2,59.0,7493,0.0
0.58,2,6,3.6,62.9,58.0,1266,0.2
2.21,0,5,6.0,61.6,57.0,18062,0.0
0.9,0,3,6.0,62.1,56.0,4088,0.2
1.5,0,3,3.1,60.6,57.0,13034,0.0
1.05,0,2,2.5,61.5,57.0,9138,0.0
0.73,0,3,3.1,61.7,55.0,2948,0.0
1.04,2,2,0.0,59.8,56.0,10515,0.0
0.31,0,3,2.5,61.8,56.0,687,0.0
0.31,0,5,6.0,61.9,56.0,436,0.0
0.26,0,4,3.1,62.2,54.0,482,0.2
0.27,2,0,3.1,62.2,58.0,413,0.2
1.26,0,5,6.0,62.4,56.0,5645,0.2
0.41,1,1,3.1,61.9,59.0,1153,0.0
1.01,1,3,2.5,60.5,60.0,7665,0.0
0.7,1,2,6.0,60.2,58.0,2319,0.0
0.57,1,2,3.6,62.0,54.0,1760,0.0
1.72,4,0,6.5,64.6,58.0,8264,0.2
1.58,1,2,6.0,61.4,61.0,12512,0.0
1.51,0,3,3.6,61.8,55.0,12626,0.0
0.3,2,1,2.5,61.1,62.0,622,0.0
0.5,1,3,2.0,61.0,60.0,2070,0.0
1.03,0,1,2.5,61.7,56.0,11611,0.0
0.34,0,6,3.1,62.0,54.0,464,0.0
0.38,2,3,3.6,59.2,60.0,766,0.0
0.75,1,3,6.5,61.0,58.0,2216,0.0
0.53,2,3,6.5,60.8,58.0,1070,0.0
1.0,3,2,6.5,59.4,64.0,3259,0.0
0.58,0,1,6.5,62.4,58.0,1359,0.2
0.55,0,1,3.1,61.7,55.0,2079,0.0
1.01,0,4,6.5,61.3,59.0,4078,0.0
0.43,0,5,2.5,60.9,57.0,929,0.0
0.23,2,2,2.5,61.5,56.0,583,0.0
1.51,3,6,6.0,64.1,61.0,6511,0.2
1.2,1,3,2.5,59.7,60.0,9475,0.0
0.5,4,1,6.0,65.1,58.0,1114,0.2
1.01,2,5,6.5,63.4,57.0,5000,0.2
0.74,0,3,3.1,61.2,56.0,3635,0.0
0.41,1,0,6.5,61.2,59.0,683,0.0
0.36,2,4,3.6,61.0,55.0,583,0.0
0.61,3,1,3.6,60.8,59.0,2124,0.0
0.25,3,4,2.0,60.6,64.0,401,0.0
1.01,1,6,10.0,60.7,59.0,2488,0.0
1.08,3,0,6.0,63.8,59.0,5927,0.2
1.52,0,5,3.6,62.4,55.0,9352,0.2
0.32,2,5,3.1,63.1,56.0,648,0.2
1.52,2,2,3.6,62.9,53.3,15649,0.2
0.9,2,4,3.1,63.2,59.0,4324,0.2
0.42,0,4,0.0,61.0,56.0,1213,0.0
1.5,1,4,3.1,61.1,58.0,11007,0.0
1.01,2,2,3.6,61.7,57.0,6159,0.0
1.21,1,4,6.5,58.8,60.0,6098,0.2
0.59,0,0,6.0,61.0,57.0,1912,0.0
0.38,0,1,2.5,61.6,55.0,1100,0.0
0.7,1,2,6.0,61.3,59.0,2161,0.0
1.0,2,3,6.0,61.4,57.0,4919,0.0
1.02,0,3,6.5,61.0,57.0,4890,0.0
2.3,2,5,6.5,60.6,60.0,14603,0.0
0.51,1,0,3.6,60.9,58.0,1716,0.0
1.69,1,3,2.5,62.9,58.0,15889,0.2
0.51,2,3,2.5,63.5,55.0,1842,0.2
0.76,4,4,10.0,64.5,57.0,1140,0.2
0.31,2,3,2.0,62.8,57.0,761,0.2
0.82,1,3,6.0,61.8,58.0,3674,0.0
0.52,0,4,3.1,61.7,55.0,1790,0.0
0.66,2,1,6.5,61.3,57.2,1769,0.0
0.5,2,1,10.0,63.1,61.0,720,0.2
1.73,1,5,6.0,61.2,60.0,10957,0.0
1.3,1,3,6.5,61.8,57.0,5421,0.0
0.3,0,0,3.6,59.5,56.0,606,0.0
0.7,4,1,6.0,64.4,53.0,2697,0.2
0.31,0,2,0.0,62.2,56.0,1046,0.2
1.21,1,4,0.0,62.2,58.0,8446,0.2
0.7,1,3,3.6,62.1,58.0,2479,0.2
1.52,2,5,6.0,62.0,58.0,9664,0.0
1.11,1,4,6.5,61.6,60.0,4578,0.0
0.55,0,2,2.5,62.3,54.0,2558,0.2
0.72,0,3,3.6,62.0,56.0,2383,0.0
0.7,0,2,3.1,60.3,57.0,3359,0.0
0.34,1,2,3.6,61.2,59.0,686,0.0
0.41,1,2,2.5,61.6,59.0,1017,0.0
2.13,1,6,3.6,59.6,59.0,15110,0.0
2.32,0,6,3.1,62.5,54.5,17891,0.2
1.5,1,1,3.1,60.1,60.0,13513,0.0
